Name,C1,C2,C3
Thump Bass    ,1,.47,22
Skrew Bass    ,1,.47,100
Tekno Boom    ,1,.22,100
Pak-man       ,.22,.1,1
Squeek Toy    ,.22,.22,1
Space Droplet ,.47,.022,1
Lazer Tag,10,.022,22
Bass Boom,.22,.22,22
Boilink,.1,.022,1
Bird,.1,.0047,4.7
Checkout Scan,.1,.1,1
Beep,.1,.22,1
Gabbabass,10,.1,22
El Grito,1,.01,100
Lazer Tom,1,.022,22
Spinback,1,.0033,100
House Bass,1,.22,22
Looong Bass,1,.1,100
Mouse,.01,.01,1
Mid Tom,.1,.47,4.7
Metal Blip,.0033,.033,1
Data Blip,.0033,.22,4.7
Space Hawk,.47,.0033,100
Hi Tom,.1,.22,4.7